source,target,weight,oneway
154751519,154751520,154.86489155556455,False
154751519,5534454688,84.68185190871723,False
154751519,154806687,120.43623242782535,False
154751519,154806685,152.95558101398623,False
154751520,154751521,155.52673481145513,False
154751520,154751519,154.86489155556455,False
154751520,154789958,122.30749530835533,False
154751520,154789956,152.59744760249333,False
154751521,154751522,151.87125504720072,False
154751521,154751520,155.52673481145513,False
154751521,154844157,142.48617619289348,False
154751521,154848590,152.48670803044146,False
154751522,154814238,152.64272311939095,False
154751522,154814236,152.5506396160831,False
154751522,154751523,152.0647955750264,False
154751522,154751521,151.87125504720075,False
154751523,154751524,152.08468822973242,False
154751523,154751522,152.06479557502638,False
154751523,154782845,152.8308861864831,False
154751523,154782843,153.1786174582656,False
154751524,154751526,152.46353782147884,False
154751524,154751523,152.08468822973242,False
154751524,154793440,152.87915461255972,False
154751524,154793439,152.97092253985426,False
154751526,154862897,152.54470268227405,False
154751526,154751528,146.54684729129363,False
154751526,154850998,152.10068385106663,False
154751526,154751524,152.46353782147884,False
154751528,154751530,10.535976946214433,False
154751528,5543972426,152.05966374239384,True
154751528,154751526,146.54684729129363,False
154751530,154751528,10.535976946214433,False
154751530,154831801,153.5032666413995,True
154751530,154751532,140.84146821324904,False
154751532,154751534,11.460441432502114,False
154751532,5543972434,150.94362383704146,True
154751532,154751530,140.84146821324902,False
154751534,154751532,11.460441432502114,False
154751534,154848557,154.47684433970275,True
154751534,154751541,146.69043305576616,False
154751541,154751543,157.6546680502847,False
154751541,154751534,146.69043305576614,False
154751541,6124416087,153.26644723595027,True
154751541,154813958,152.9449504356434,False
154751543,154763259,77.9369630509061,False
154751543,154751541,157.6546680502847,False
154751543,154791117,33.917389539596925,False
154751551,154751553,117.51645142978377,False
154751551,154791825,272.22943849995306,False
154751551,154789802,83.83860879022183,False
154751553,154751551,117.51645142978379,False
154751553,154779262,88.16776284704581,False
154751553,154779245,527.4907296600609,False
154751561,154751563,164.88603696805868,False
154751561,154810769,121.32722602154352,False
154751561,154841202,39.888493761255695,False
154751563,154751565,130.62895081277387,False
154751563,154751561,164.8860369680587,False
154751563,154810748,81.12090263760892,False
154751563,154850994,80.99596577794497,False
154751565,154751568,77.8395113567181,False
154751565,154751563,130.6289508127739,False
154751565,154847373,80.71354945949976,False
154751565,154810751,81.52276107260778,False
154751568,154751565,77.8395113567181,False
154751568,154806974,23.782479086929172,True
154751570,154791213,39.44033408300063,False
154751570,154751571,66.28557599649764,False
154751570,154791216,90.11249525910303,False
154751571,154751572,42.29768743908035,False
154751571,154751570,66.28557599649764,False
154751571,154816610,190.89918125396537,False
154751572,154751571,42.29768743908035,False
154751581,154751583,95.52225759289017,False
154751581,154806973,31.73883120020149,False
154751581,154751568,51.412612800226526,True
154751583,154751585,12.37948058216181,False
154751583,154751581,95.52225759289017,False
154751585,154751588,158.5191093803595,False
154751585,154751583,12.37948058216181,False
154751585,154810755,55.93763452787436,True
154751588,5812931012,148.2348310132006,False
154751588,154751585,158.5191093803595,False
154751588,154782588,56.011312356667176,False
154751588,154782590,78.922272823843,True
154751650,154751652,142.90805030305444,False
154751650,154822308,154.4571460917347,False
154751650,154806999,152.26821892682125,False
154751650,154787034,127.43034614934531,False
154751652,154751653,132.43655200599437,False
154751652,154751650,142.90805030305444,False
154751652,154822310,153.3199106706329,False
154751652,154807000,152.62432504706504,False
154751653,154751657,138.98673970378115,False
154751653,154751652,132.43655200599437,False
154751653,5807177551,150.58087291443817,False
154751653,154822312,153.69410865379118,False
154751657,154751658,142.20619131192714,False
154751657,154751653,138.98673970378118,False
154751657,154800387,154.9700338526292,False
154751657,154800386,132.33206885311512,False
154751658,154751657,142.20619131192714,False
154751658,154802124,132.43853551187507,False
154751658,154751660,67.93047402961857,False
154751660,154751662,201.2265710915538,False
154751660,154802126,84.5152362838742,False
154751660,154751658,67.93047402961857,False
154751662,154788933,187.88013875416544,False
154751662,154751660,201.2265710915538,False
154751662,154822321,83.59298384280308,False
154752288,154752289,94.37427562007588,False
154752288,154854281,135.3402000914071,False
154752288,154790001,415.85339336323784,False
154752289,154752288,94.37427562007589,False
154752289,154798939,81.1463418122014,False
154752289,154854281,165.89387288324315,False
154752299,154785871,85.6085372372992,False
154752299,154752304,61.63770160987981,False
154752299,154786086,160.91825982498813,False
154752304,154752305,37.940261920506494,False
154752304,154805465,57.21410803119193,False
154752304,154752299,61.63770160987981,False
154752305,154752304,37.940261920506494,False
154752429,154752440,140.4139401568583,False
154752429,154752509,314.7603756482519,False
154752429,154857137,294.92669497442944,False
154752440,154752454,152.69242825036292,False
154752440,154752429,140.41394015685827,False
154752440,154809062,904.7401700230263,False
154752454,154752462,58.84293539612899,False
154752454,154752440,152.69242825036295,False
